TempTMT [°C],-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
12:45-13:00,"1,3350","1,3351","1,3283","1,3191","1,3076","1,2938","1,2778","1,2594","1,2389","1,2161","1,0504","1,1640","1,1348","1,1034","1,0735","1,0411","1,0063","0,9730","0,9334","0,8914","0,8206","0,7523","0,6848","0,6189","0,5547","0,4922","0,4312","0,3718","0,3141","0,2579","0,2032","0,1512","0,0993","0,0379","0,0046"
13:00-13:15,"1,3340","1,3341","1,3273","1,3181","1,3066","1,2929","1,2768","1,2585","1,2379","1,2152","1,0496","1,1631","1,1339","1,1026","1,0727","1,0403","1,0056","0,9723","0,9327","0,8907","0,8200","0,7517","0,6843","0,6185","0,5543","0,4918","0,4309","0,3716","0,3138","0,2577","0,2031","0,1510","0,0992","0,0378","0,0046"
13:15-13:30,"1,3265","1,3266","1,3198","1,3107","1,2993","1,2856","1,2696","1,2514","1,2310","1,2084","1,0437","1,1566","1,1276","1,0964","1,0667","1,0345","0,9999","0,9669","0,9274","0,8857","0,8154","0,7475","0,6804","0,6150","0,5512","0,4890","0,4285","0,3695","0,3121","0,2562","0,2019","0,1502","0,0987","0,0376","0,0046"
13:30-13:45,"1,3231","1,3232","1,3164","1,3074","1,2960","1,2823","1,2664","1,2482","1,2278","1,2052","1,0410","1,1536","1,1246","1,0936","1,0639","1,0318","0,9974","0,9644","0,9250","0,8834","0,8133","0,7456","0,6787","0,6134","0,5498","0,4878","0,4274","0,3685","0,3113","0,2556","0,2014","0,1498","0,0984","0,0375","0,0045"
13:45-14:00,"1,3208","1,3209","1,3142","1,3051","1,2938","1,2801","1,2642","1,2461","1,2257","1,2032","1,0392","1,1517","1,1227","1,0917","1,0621","1,0301","0,9957","0,9627","0,9235","0,8819","0,8119","0,7443","0,6775","0,6124","0,5489","0,4870","0,4266","0,3679","0,3107","0,2551","0,2011","0,1496","0,0982","0,0375","0,0045"
14:00-14:15,"1,3205","1,3206","1,3139","1,3048","1,2934","1,2798","1,2639","1,2458","1,2254","1,2029","1,0390","1,1514","1,1225","1,0914","1,0618","1,0298","0,9954","0,9625","0,9232","0,8817","0,8117","0,7441","0,6774","0,6122","0,5487","0,4868","0,4265","0,3678","0,3107","0,2551","0,2010","0,1495","0,0982","0,0375","0,0045"
14:15-14:30,"1,3200","1,3201","1,3134","1,3044","1,2930","1,2794","1,2635","1,2453","1,2250","1,2025","1,0386","1,1510","1,1221","1,0911","1,0615","1,0295","0,9951","0,9621","0,9229","0,8814","0,8114","0,7439","0,6771","0,6120","0,5485","0,4867","0,4264","0,3677","0,3106","0,2550","0,2010","0,1495","0,0982","0,0375","0,0045"
14:30-14:45,"1,3161","1,3162","1,3095","1,3005","1,2892","1,2756","1,2597","1,2416","1,2214","1,1989","1,0355","1,1476","1,1187","1,0878","1,0583","1,0264","0,9921","0,9593","0,9202","0,8788","0,8090","0,7416","0,6751","0,6102","0,5469","0,4852","0,4251","0,3666","0,3096","0,2542","0,2004","0,1490","0,0979","0,0373","0,0045"
14:45-15:00,"1,3165","1,3166","1,3099","1,3009","1,2895","1,2759","1,2601","1,2420","1,2217","1,1993","1,0359","1,1479","1,1191","1,0881","1,0586","1,0267","0,9924","0,9596","0,9204","0,8790","0,8092","0,7419","0,6753","0,6104","0,5471","0,4854","0,4252","0,3667","0,3097","0,2543","0,2004","0,1491","0,0979","0,0374","0,0045"
15:00-15:15,"1,3222","1,3223","1,3155","1,3065","1,2951","1,2814","1,2655","1,2473","1,2270","1,2044","1,0403","1,1528","1,1239","1,0928","1,0632","1,0311","0,9967","0,9637","0,9244","0,8828","0,8127","0,7451","0,6782","0,6130","0,5494","0,4874","0,4271","0,3683","0,3111","0,2554","0,2013","0,1497","0,0983","0,0375","0,0045"
