gCO2/kwh;Date;Time
331.8582643;07.01.2022;02:30:00
324.8645516;07.01.2022;02:45:00
324.8992228;07.01.2022;03:00:00
324.1113728;07.01.2022;03:15:00
322.3255794;07.01.2022;03:30:00
321.8710261;07.01.2022;03:45:00
322.5849061;07.01.2022;04:00:00
325.6955822;07.01.2022;04:15:00
325.3257651;07.01.2022;04:30:00
327.2937717;07.01.2022;04:45:00
335.1772542;07.01.2022;05:00:00
337.7650549;07.01.2022;05:15:00
338.6215445;07.01.2022;05:30:00
342.4703509;07.01.2022;05:45:00
340.6240058;07.01.2022;06:00:00
344.4110263;07.01.2022;06:15:00
347.171287;07.01.2022;06:30:00
346.8899136;07.01.2022;06:45:00
344.5208283;07.01.2022;07:00:00
349.5948229;07.01.2022;07:15:00
352.5587477;07.01.2022;07:30:00
353.7408934;07.01.2022;07:45:00
350.3042572;07.01.2022;08:00:00
352.605103;07.01.2022;08:15:00
353.0966463;07.01.2022;08:30:00
355.7283377;07.01.2022;08:45:00
357.6008831;07.01.2022;09:00:00
358.429054;07.01.2022;09:15:00
357.0954366;07.01.2022;09:30:00
357.235059;07.01.2022;09:45:00
358.3103407;07.01.2022;10:00:00
356.3943306;07.01.2022;10:15:00
356.4673936;07.01.2022;10:30:00
356.754738;07.01.2022;10:45:00
357.4226847;07.01.2022;11:00:00
356.8070457;07.01.2022;11:15:00
357.4764068;07.01.2022;11:30:00
359.6352789;07.01.2022;11:45:00
364.9519737;07.01.2022;12:00:00
368.5412089;07.01.2022;12:15:00
369.1636911;07.01.2022;12:30:00
372.8789751;07.01.2022;12:45:00
374.1567819;07.01.2022;13:00:00
376.874071;07.01.2022;13:15:00
378.6025959;07.01.2022;13:30:00
382.7072819;07.01.2022;13:45:00
382.5229296;07.01.2022;14:00:00
387.7972866;07.01.2022;14:15:00
392.2538802;07.01.2022;14:30:00
395.5283432;07.01.2022;14:45:00
401.7266169;07.01.2022;15:00:00
403.4031993;07.01.2022;15:15:00
400.0956333;07.01.2022;15:30:00
396.7517149;07.01.2022;15:45:00
398.8892022;07.01.2022;16:00:00
398.3911389;07.01.2022;16:15:00
394.2945779;07.01.2022;16:30:00
391.058309;07.01.2022;16:45:00
386.8554921;07.01.2022;17:00:00
383.8577852;07.01.2022;17:15:00
383.6755101;07.01.2022;17:30:00
386.3711092;07.01.2022;17:45:00
389.0206321;07.01.2022;18:00:00
389.3375873;07.01.2022;18:15:00
390.0791703;07.01.2022;18:30:00
393.5779733;07.01.2022;18:45:00
390.4132034;07.01.2022;19:00:00
394.500095;07.01.2022;19:15:00
397.2191123;07.01.2022;19:30:00
399.0610822;07.01.2022;19:45:00
403.6349584;07.01.2022;20:00:00
407.040113;07.01.2022;20:15:00
410.940846;07.01.2022;20:30:00
411.5059809;07.01.2022;20:45:00
420.636657;07.01.2022;21:00:00
421.2931528;07.01.2022;21:15:00
422.5253147;07.01.2022;21:30:00
428.2741926;07.01.2022;21:45:00
432.2514126;07.01.2022;22:00:00
436.3433352;07.01.2022;22:15:00
429.5466506;07.01.2022;22:30:00
425.3961264;07.01.2022;22:45:00
431.8553386;07.01.2022;23:00:00
435.2653172;07.01.2022;23:15:00
438.3537347;07.01.2022;23:30:00
435.9621776;07.01.2022;23:45:00
436.206333;08.01.2022;00:00:00
433.2519752;08.01.2022;00:15:00
436.9051635;08.01.2022;00:30:00
431.0412583;08.01.2022;00:45:00
